"Sl","Gene"
"818","ENSG00000065809"
"819","ENSG00000065833"
"820","ENSG00000065882"
"821","ENSG00000065911"
"822","ENSG00000065923"
"823","ENSG00000065970"
"824","ENSG00000065978"
"825","ENSG00000065989"
"826","ENSG00000066032"
"827","ENSG00000066044"
"828","ENSG00000066084"
"829","ENSG00000066117"
"830","ENSG00000066135"
"831","ENSG00000066230"
"832","ENSG00000066248"
"833","ENSG00000066279"
"834","ENSG00000066322"
"835","ENSG00000066336"
"836","ENSG00000066382"
"837","ENSG00000066405"
"838","ENSG00000066422"
"839","ENSG00000066427"
"840","ENSG00000066455"
"841","ENSG00000066468"
"842","ENSG00000066557"
"843","ENSG00000066583"
"844","ENSG00000066629"
"845","ENSG00000066651"
"846","ENSG00000066654"
"847","ENSG00000066735"
"848","ENSG00000066739"
"849","ENSG00000066777"
"850","ENSG00000066827"
"851","ENSG00000066855"
"852","ENSG00000066923"
"853","ENSG00000066926"
"854","ENSG00000066933"
"855","ENSG00000067048"
"856","ENSG00000067057"
"857","ENSG00000067064"
"858","ENSG00000067066"
"859","ENSG00000067082"
"860","ENSG00000067113"
"861","ENSG00000067141"
"862","ENSG00000067167"
"863","ENSG00000067177"
"864","ENSG00000067182"
"865","ENSG00000067191"
"866","ENSG00000067208"
"867","ENSG00000067221"
"868","ENSG00000067225"
"869","ENSG00000067248"
"870","ENSG00000067334"
"871","ENSG00000067365"
"872","ENSG00000067369"
"873","ENSG00000067445"
"874","ENSG00000067533"
"875","ENSG00000067560"
"876","ENSG00000067596"
"877","ENSG00000067606"
"878","ENSG00000067646"
"879","ENSG00000067704"
"880","ENSG00000067715"
"881","ENSG00000067798"
"882","ENSG00000067829"
"883","ENSG00000067836"
"884","ENSG00000067840"
"885","ENSG00000067842"
"886","ENSG00000067900"
"887","ENSG00000067955"
"888","ENSG00000067992"
"889","ENSG00000068001"
"890","ENSG00000068024"
"891","ENSG00000068028"
"892","ENSG00000068078"
"893","ENSG00000068097"
"894","ENSG00000068120"
"895","ENSG00000068137"
"896","ENSG00000068305"
"897","ENSG00000068308"
"898","ENSG00000068323"
"899","ENSG00000068354"
"900","ENSG00000068366"
"901","ENSG00000068383"
"902","ENSG00000068394"
"903","ENSG00000068400"
"904","ENSG00000068438"
"905","ENSG00000068489"
"906","ENSG00000068650"
"907","ENSG00000068654"
"908","ENSG00000068697"
"909","ENSG00000068724"
"910","ENSG00000068745"
"911","ENSG00000068781"
"912","ENSG00000068784"
"913","ENSG00000068796"
"914","ENSG00000068831"
"915","ENSG00000068885"
"916","ENSG00000068903"
"917","ENSG00000068912"
"918","ENSG00000068971"
"919","ENSG00000068976"
"920","ENSG00000068985"
"921","ENSG00000069011"
"922","ENSG00000069018"
"923","ENSG00000069020"
"924","ENSG00000069188"
"925","ENSG00000069206"
"926","ENSG00000069329"
"927","ENSG00000069399"
"928","ENSG00000069424"
"929","ENSG00000069431"
"930","ENSG00000069482"
"931","ENSG00000069493"
"932","ENSG00000069509"
"933","ENSG00000069535"
"934","ENSG00000069667"
"935","ENSG00000069702"
"936","ENSG00000069712"
"937","ENSG00000069764"
"938","ENSG00000069812"
"939","ENSG00000069849"
"940","ENSG00000069869"
"941","ENSG00000069943"
"942","ENSG00000069956"
"943","ENSG00000069966"
"944","ENSG00000069974"
"945","ENSG00000069998"
"946","ENSG00000070010"
"947","ENSG00000070018"
"948","ENSG00000070019"
"949","ENSG00000070031"
"950","ENSG00000070047"
"951","ENSG00000070061"
"952","ENSG00000070081"
"953","ENSG00000070087"
"954","ENSG00000070159"
"955","ENSG00000070182"
"956","ENSG00000070190"
"957","ENSG00000070193"
"958","ENSG00000070269"
"959","ENSG00000070366"
"960","ENSG00000070371"
"961","ENSG00000070404"
"962","ENSG00000070413"
"963","ENSG00000070423"
"964","ENSG00000070495"
"965","ENSG00000070501"
"966","ENSG00000070526"
"967","ENSG00000070540"
"968","ENSG00000070601"
"969","ENSG00000070610"
"970","ENSG00000070669"
"971","ENSG00000070718"
"972","ENSG00000070729"
"973","ENSG00000070731"
"974","ENSG00000070748"
"975","ENSG00000070756"
"976","ENSG00000070759"
"977","ENSG00000070761"
"978","ENSG00000070778"
"979","ENSG00000070785"
"980","ENSG00000070808"
"981","ENSG00000070814"
"982","ENSG00000070831"
"983","ENSG00000070882"
"984","ENSG00000070886"
"985","ENSG00000070915"
"986","ENSG00000070961"
"987","ENSG00000070985"
"988","ENSG00000071051"
"989","ENSG00000071054"
"990","ENSG00000071073"
"991","ENSG00000071127"
"992","ENSG00000071203"
"993","ENSG00000071205"
"994","ENSG00000071242"
"995","ENSG00000071246"
"996","ENSG00000071282"
"997","ENSG00000071462"
"998","ENSG00000071537"
"999","ENSG00000071539"
"1000","ENSG00000071553"
"1001","ENSG00000071564"
"1002","ENSG00000071575"
"1003","ENSG00000071626"
"1004","ENSG00000071655"
"1005","ENSG00000071677"
"1006","ENSG00000071794"
"1007","ENSG00000071859"
"1008","ENSG00000071889"
"1009","ENSG00000071967"
"1010","ENSG00000071991"
"1011","ENSG00000071994"
"1012","ENSG00000072041"
"1013","ENSG00000072042"
"1014","ENSG00000072062"
"1015","ENSG00000072071"
"1016","ENSG00000072080"
"1017","ENSG00000072110"
"1018","ENSG00000072133"
"1019","ENSG00000072134"
"1020","ENSG00000072135"
"1021","ENSG00000072182"
"1022","ENSG00000072195"
"1023","ENSG00000072201"
"1024","ENSG00000072210"
"1025","ENSG00000072274"
"1026","ENSG00000072310"
"1027","ENSG00000072315"
"1028","ENSG00000072364"
"1029","ENSG00000072401"
"1030","ENSG00000072415"
"1031","ENSG00000072422"
"1032","ENSG00000072501"
"1033","ENSG00000072506"
"1034","ENSG00000072518"
"1035","ENSG00000072571"
"1036","ENSG00000072694"
"1037","ENSG00000072736"
"1038","ENSG00000072756"
"1039","ENSG00000072778"
"1040","ENSG00000072786"
"1041","ENSG00000072818"
"1042","ENSG00000072832"
"1043","ENSG00000072840"
"1044","ENSG00000072849"
"1045","ENSG00000072858"
"1046","ENSG00000072864"
"1047","ENSG00000072952"
"1048","ENSG00000072954"
"1049","ENSG00000072958"
"1050","ENSG00000073008"
"1051","ENSG00000073009"
"1052","ENSG00000073050"
"1053","ENSG00000073067"
"1054","ENSG00000073111"
"1055","ENSG00000073146"
"1056","ENSG00000073150"
"1057","ENSG00000073282"
"1058","ENSG00000073331"
"1059","ENSG00000073350"
"1060","ENSG00000073417"
"1061","ENSG00000073464"
"1062","ENSG00000073536"
"1063","ENSG00000073578"
"1064","ENSG00000073584"
"1065","ENSG00000073598"
"1066","ENSG00000073605"
"1067","ENSG00000073614"
"1068","ENSG00000073711"
